50 Gang Of Four-fans Can't Be Wrong
Gang Of Four, Pstereofestivalen 

De brukte sin tid på å komme i slaget, men Gang Of Four gikk fra søkk kjedelig på forrykende bra under konsertens gang. 

2009-utgaven av Gang Of Four er nærmere Gang Of Two, all den stund det kun er to gjenværende medlemmer fra originalbesetningen med: vokalist Jon King og den svært Inspector Morse-utseende gitaristen Andy Gill. 
De to andre fyrene på scenen er det da heller ikke spesielt mye vits i å bry seg om; dette er Gill og Kings show, og de styrer det med tredve års erfaring. 

Disse tredve årene har nok også krevd sitt, for man merker stundom at det er eldre herrer vi har med å gjøre her. 
Spesielt i begynnelsen, der Jon King slipper opp for pust allerede på tredje låt "We Live As We Dream, Alone". 
På dette tidspunktet har de ikke kommet seg ovenpå, og selv knippet med superfans virker nølende til dagsformen. 
Lange pauser mellom låtene, en del intern knuffing på scenen og en andpustenhet som tar luven av fjerdelåt "I Love A Man In A Uniform". 

Etter denne kneiken går det derimot sterkt oppover: de pumper ut låter som "To Hell With Poverty", "What We All Want"- og når Gill tar en Hurra Torpedo og hamrer løs med balltre på noen hvitevarer til tonene av "He'd Send In The Army" er det ingen tvil om at britene har fått grep om publikum og vridd selv den minst dansepønk-entusiastiske tilhører inn i sin monotoni-styrte musikalske skrutvinge. 

Når de avslutningsvis pumper ut Entertainment!-singelen "Damaged Goods" er det et faktum: de brukte sin tid, men de klarte å snu konserten fra et andpustent gjesp til en forrykende postpunkseanse. 
